Module;Name;
k_ary_n_mesh.host[16];Throughput:mean;6.71E+06
k_ary_n_mesh.host[16];Throughput:stddev;NaN
k_ary_n_mesh.host[16];Throughput:sum;6.71E+06
k_ary_n_mesh.host[16];Throughput:sqrsum;4.50E+13
k_ary_n_mesh.host[16];Throughput:min;6.71E+06
k_ary_n_mesh.host[16];Throughput:max;6.71E+06
k_ary_n_mesh.host[17];Latengy:count;1004
k_ary_n_mesh.host[17];Latengy:mean;0.000143512
k_ary_n_mesh.host[17];Latengy:stddev;0.000175275
k_ary_n_mesh.host[17];Latengy:sum;0.144086
k_ary_n_mesh.host[17];Latengy:sqrsum;5.15E-05
k_ary_n_mesh.host[17];Latengy:min;1.22E-07
k_ary_n_mesh.host[17];Latengy:max;0.000926289
k_ary_n_mesh.host[17];Throughput:count;1
k_ary_n_mesh.host[17];Throughput:mean;6.95E+06
k_ary_n_mesh.host[17];Throughput:stddev;NaN
k_ary_n_mesh.host[17];Throughput:sum;6.95E+06
k_ary_n_mesh.host[17];Throughput:sqrsum;4.84E+13
k_ary_n_mesh.host[17];Throughput:min;6.95E+06
k_ary_n_mesh.host[17];Throughput:max;6.95E+06
k_ary_n_mesh.host[18];Latengy:count;924
k_ary_n_mesh.host[18];Latengy:mean;0.0001566
k_ary_n_mesh.host[18];Latengy:stddev;0.000176899
k_ary_n_mesh.host[18];Latengy:sum;0.144698
k_ary_n_mesh.host[18];Latengy:sqrsum;5.15E-05
k_ary_n_mesh.host[18];Latengy:min;1.13E-07
k_ary_n_mesh.host[18];Latengy:max;0.00103296
k_ary_n_mesh.host[18];Throughput:count;1
k_ary_n_mesh.host[18];Throughput:mean;6.40E+06
k_ary_n_mesh.host[18];Throughput:stddev;NaN
k_ary_n_mesh.host[18];Throughput:sum;6.40E+06
k_ary_n_mesh.host[18];Throughput:sqrsum;4.10E+13
k_ary_n_mesh.host[18];Throughput:min;6.40E+06
k_ary_n_mesh.host[18];Throughput:max;6.40E+06
k_ary_n_mesh.host[19];Latengy:count;950
